test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
LINC00028	LINC00028	LINC00028	chr20:30073580-30075377	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00029	LINC00029	LINC00029	chr20:61640734-61716423	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00032	LINC00032	LINC00032	chr9:27245681-27282791	KO1_WT	KO1_Pus1	NOTEST	0	0.0111	inf	0	1	1	no
LINC00051	LINC00051	LINC00051	chr8:143279716-143290364	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00052	LINC00052	LINC00052	chr15:88120159-88122917	KO1_WT	KO1_Pus1	NOTEST	0.0319636	0	-inf	0	1	1	no
LINC00085	LINC00085	LINC00085	chr19:52196592-52208443	KO1_WT	KO1_Pus1	OK	1.84393	2.19447	0.251084	0.720332	0.30455	0.486088	no
LINC00086	LINC00086	LINC00086	chrX:134555867-134560225	KO1_WT	KO1_Pus1	OK	2.31066	3.04896	0.400016	1.51124	0.0328	0.0940988	no
LINC00087	LINC00087	LINC00087	chrX:134229014-134232733	KO1_WT	KO1_Pus1	OK	1.92894	2.73466	0.503552	1.71606	0.01745	0.0567522	no
LINC00092	LINC00092	LINC00092	chr9:98782013-98784037	KO1_WT	KO1_Pus1	NOTEST	0.016676	0.0399299	1.2597	0	1	1	no
LINC00094	LINC00094	LINC00094	chr9:136890560-136933141	KO1_WT	KO1_Pus1	OK	7.26005	8.48669	0.225222	0.883011	0.20255	0.367247	no
LINC00102	LINC00102	LINC00102	chrX:2527305-2575270	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00111	LINC00111	LINC00111	chr21:43099461-43117496	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00112	LINC00112	LINC00112	chr21:43136595-43137742	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00113	LINC00113	LINC00113	chr21:29094697-29123552	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00114	LINC00114	LINC00114	chr21:40110878-40145401	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00115	LINC00115	LINC00115	chr1:761585-762902	KO1_WT	KO1_Pus1	OK	1.10441	1.36745	0.308204	0.596795	0.39665	0.576414	no
LINC00116	LINC00116	LINC00116	chr2:110969105-110980517	KO1_WT	KO1_Pus1	OK	3.29813	3.60095	0.126731	0.404488	0.576	0.731634	no
LINC00152	LINC00152	LINC00152	chr2:87754973-87821030	KO1_WT	KO1_Pus1	OK	4.64749	1.23349	-1.91371	-2.28465	0.0062	0.0248489	yes
LINC00158	LINC00158	LINC00158	chr21:26758132-26804013	KO1_WT	KO1_Pus1	NOTEST	0	0.122285	inf	0	1	1	no
LINC00159	LINC00159	LINC00159	chr21:33452793-33458608	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00160	LINC00160	LINC00160	chr21:36096104-36109479	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00161	LINC00161	LINC00161	chr21:29911639-29912677	KO1_WT	KO1_Pus1	NOTEST	0	0.0464487	inf	0	1	1	no
LINC00162	LINC00162	LINC00162	chr21:46419126-46424642	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00163	LINC00163	LINC00163	chr21:46409778-46414001	KO1_WT	KO1_Pus1	NOTEST	0.0289674	0.0464021	0.67976	0	1	1	no
LINC00167	LINC00167	LINC00167	chr11:129769600-129875381	KO1_WT	KO1_Pus1	NOTEST	0.0423843	0.0687787	0.698431	0	1	1	no
LINC00173	LINC00173	LINC00173	chr12:116971226-116974318	KO1_WT	KO1_Pus1	OK	2.14576	0.931936	-1.20318	-1.55629	0.0318	0.0917679	no
LINC00174	LINC00174	LINC00174	chr7:65841030-65865395	KO1_WT	KO1_Pus1	OK	2.15523	1.28875	-0.741872	-2.63961	0.00045	0.00293355	yes
LINC00176	LINC00176	LINC00176	chr20:62665696-62671315	KO1_WT	KO1_Pus1	NOTEST	0.47869	0.448255	-0.094773	0	1	1	no
LINC00184	LINC00184	LINC00184	chr1:234765056-234770526	KO1_WT	KO1_Pus1	NOTEST	0	0.015184	inf	0	1	1	no
LINC00189	LINC00189	LINC00189	chr21:30565800-30660526	KO1_WT	KO1_Pus1	NOTEST	0	0.0710017	inf	0	1	1	no
LINC00200	LINC00200	LINC00200	chr10:1205707-1210612	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00202	LINC00202	LINC00202	chr10:27220134-27230930	KO1_WT	KO1_Pus1	NOTEST	0.400771	0.381365	-0.0716082	0	1	1	no
LINC00204B	LINC00204B	LINC00204B	chrX:153860738-153861448	KO1_WT	KO1_Pus1	NOTEST	0.218151	0.0618813	-1.81775	0	1	1	no
LINC00207	LINC00207	LINC00207	chr22:44965219-44968329	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00208	LINC00208	LINC00208	chr8:11434043-11438850	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00221	LINC00221	LINC00221	chr14:106938454-106951529	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00222	LINC00222	LINC00222	chr6:109072856-109091145	KO1_WT	KO1_Pus1	NOTEST	0	0.0602035	inf	0	1	1	no
LINC00226	LINC00226	LINC00226	chr14:106744268-106744966	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00229	LINC00229	LINC00229	chr22:45002207-45021299	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00230A	LINC00230A	LINC00230A	chrY:20488418-20492736	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00230B	LINC00230B	LINC00230B	chrY:20488418-20492736	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00235	LINC00235	LINC00235	chr16:576846-577407	KO1_WT	KO1_Pus1	OK	1.27671	1.82045	0.511858	0.631659	0.3866	0.567111	no
LINC00238	LINC00238	LINC00238	chr14:66953108-66965271	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00239	LINC00239	LINC00239	chr14:102196773-102198862	KO1_WT	KO1_Pus1	NOTEST	0.148711	0.144096	-0.0454857	0	1	1	no
LINC00240	LINC00240	LINC00240	chr6:26924771-26991753	KO1_WT	KO1_Pus1	NOTEST	0.223093	0.243528	0.126438	0	1	1	no
LINC00242	LINC00242	LINC00242	chr6:170188885-170202969	KO1_WT	KO1_Pus1	NOTEST	0.346331	0.431846	0.318364	0	1	1	no
LINC00244	LINC00244	LINC00244	chr7:156333184-156333795	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00246B	LINC00246B	LINC00246B	chrX:72161567-72163589	KO1_WT	KO1_Pus1	OK	0.483904	0.91854	0.924622	1.66475	0.02335	0.0716052	no
LINC00251	LINC00251	LINC00251	chr8:66073379-66092575	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00254	LINC00254	LINC00254	chr16:1928285-1934232	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00256A	LINC00256A	LINC00256A	chr9:115875175-115882126	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00256B	LINC00256B	LINC00256B	chr9:115867002-115873957	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00260	LINC00260	LINC00260	chr1:203595914-203713209	KO1_WT	KO1_Pus1	OK	0.698823	0.379186	-0.882022	-0.378799	0.6513	0.78841	no
LINC00261	LINC00261	LINC00261	chr20:22541191-22559280	KO1_WT	KO1_Pus1	NOTEST	0.0053247	0	-inf	0	1	1	no
LINC00263	LINC00263	LINC00263	chr10:102133332-102148111	KO1_WT	KO1_Pus1	OK	9.05551	6.56011	-0.465077	-1.5743	0.0284	0.0838797	no
LINC00264	LINC00264	LINC00264	chr10:26878793-26883251	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00265	LINC00265	LINC00265	chr7:39773166-39834222	KO1_WT	KO1_Pus1	OK	1.8819	1.49707	-0.330055	-1.20277	0.08885	0.201418	no
LINC00266-1	LINC00266-1	LINC00266-1	chr20:62921737-62934707	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00271	LINC00271	LINC00271	chr6:135818938-136011976	KO1_WT	KO1_Pus1	NOTEST	0.0438889	0.0211706	-1.05179	0	1	1	no
LINC00272	LINC00272	LINC00272	chr1:182376755-182383948	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00273	LINC00273	LINC00273	chr16:33961051-33962503	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00277	LINC00277	LINC00277	chr15:69116302-69564544	KO1_WT	KO1_Pus1	NOTEST	0	0.053449	inf	0	1	1	no
LINC00281	LINC00281	LINC00281	chrUn_gl000212:24048-60768	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00282	LINC00282	LINC00282	chr13:52387482-52419286	KO1_WT	KO1_Pus1	NOTEST	0.12379	0.0654214	-0.920066	0	1	1	no
LINC00284	LINC00284	LINC00284	chr13:44596470-44604599	KO1_WT	KO1_Pus1	NOTEST	0	0.0127587	inf	0	1	1	no
LINC00290	LINC00290	LINC00290	chr4:181985242-182080302	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00293	LINC00293	LINC00293	chr8:47752507-47767407	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00294	LINC00294	LINC00294	chr11:33097695-33101000	KO1_WT	KO1_Pus1	OK	6.27471	7.5882	0.274209	1.24851	0.0773	0.181139	no
LINC00299	LINC00299	LINC00299	chr2:8147900-8468549	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00301	LINC00301	LINC00301	chr11:60383223-60454621	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00303	LINC00303	LINC00303	chr1:204001574-204010392	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00304	LINC00304	LINC00304	chr16:89225627-89230083	KO1_WT	KO1_Pus1	NOTEST	0.0123632	0.104138	3.07437	0	1	1	no
LINC00305	LINC00305	LINC00305	chr18:61747242-62090827	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00307	LINC00307	LINC00307	chr21:31581468-31584101	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00308	LINC00308	LINC00308	chr21:23470935-23488847	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00309	LINC00309	LINC00309	chr2:64412212-64432619	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00310	LINC00310	LINC00310	chr21:35552977-35562220	KO1_WT	KO1_Pus1	NOTEST	0.0889958	0.414098	2.21816	0	1	1	no
LINC00311	LINC00311	LINC00311	chr16:85316563-85337002	KO1_WT	KO1_Pus1	NOTEST	0.01986	0.0590044	1.57096	0	1	1	no
LINC00312	LINC00312	LINC00312	chr3:8613467-8616354	KO1_WT	KO1_Pus1	NOTEST	0.149262	0.169941	0.187192	0	1	1	no
LINC00313	LINC00313	LINC00313	chr21:44881973-44898103	KO1_WT	KO1_Pus1	NOTEST	0.175167	0	-inf	0	1	1	no
LINC00314	LINC00314	LINC00314	chr21:29385681-29395528	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00315	LINC00315	LINC00315	chr21:46720159-46725172	KO1_WT	KO1_Pus1	NOTEST	0.171776	0.0438268	-1.97065	0	1	1	no
LINC00317	LINC00317	LINC00317	chr21:23095612-23109639	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00319	LINC00319	LINC00319	chr21:44869903-44873771	KO1_WT	KO1_Pus1	NOTEST	0.10964	0.142712	0.380333	0	1	1	no
LINC00320	LINC00320	LINC00320	chr21:22114912-22175426	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00323	LINC00323	LINC00323	chr21:42513426-42519991	KO1_WT	KO1_Pus1	NOTEST	0	0.0166422	inf	0	1	1	no
LINC00324	LINC00324	LINC00324	chr17:8123947-8127361	KO1_WT	KO1_Pus1	OK	0.697646	0.196816	-1.82564	-2.34088	0.0072	0.0279991	yes
LINC00326	LINC00326	LINC00326	chr6:133409218-133427717	KO1_WT	KO1_Pus1	NOTEST	0.0313165	0.0628643	1.00532	0	1	1	no
LINC00327	LINC00327	LINC00327	chr13:24043650-24061603	KO1_WT	KO1_Pus1	NOTEST	0.120102	0.161622	0.428368	0	1	1	no
LINC00330	LINC00330	LINC00330	chr13:45373639-45383766	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00336	LINC00336	LINC00336	chr6:33551475-33561115	KO1_WT	KO1_Pus1	NOTEST	0.0758625	0.0482257	-0.653584	0	1	1	no
LINC00338	LINC00338,SEC14L1	LINC00338,SEC14L1	chr17:75084724-75213181	KO1_WT	KO1_Pus1	OK	12.6051	13.2457	0.0715165	0.216401	0.75605	0.859171	no
LINC00339	LINC00339	LINC00339	chr1:22351706-22357715	KO1_WT	KO1_Pus1	OK	7.38594	5.69765	-0.374414	-1.22511	0.07955	0.185033	no
LINC00340	LINC00340	LINC00340	chr6:21666674-22194616	KO1_WT	KO1_Pus1	NOTEST	0	0.0179451	inf	0	1	1	no
LINC00341	LINC00341	LINC00341	chr14:95873603-95876427	KO1_WT	KO1_Pus1	NOTEST	0.291899	0.328883	0.172104	0	1	1	no
LINC00346	LINC00346	LINC00346	chr13:111516333-111522655	KO1_WT	KO1_Pus1	NOTEST	0.0448591	0.169651	1.9191	0	1	1	no
LINC00347	LINC00347	LINC00347	chr13:75126979-75131257	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00410	LINC00410	LINC00410	chr13:91543207-91578851	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00421	LINC00421	LINC00421	chr13:19919188-19920889	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00426	LINC00426	LINC00426	chr13:30914406-30948036	KO1_WT	KO1_Pus1	NOTEST	0	0.0227769	inf	0	1	1	no
LINC00442	LINC00442	LINC00442	chr13:19582398-19586774	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00460	LINC00460	LINC00460	chr13:107028910-107030142	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00461	LINC00461	LINC00461	chr5:87836596-87980620	KO1_WT	KO1_Pus1	OK	0.656597	0.70269	0.0978803	0.193514	0.7609	0.861792	no
LINC00466	LINC00466	LINC00466	chr1:63624753-63782901	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00467	LINC00467	LINC00467	chr1:211556096-211605877	KO1_WT	KO1_Pus1	OK	14.1619	9.35177	-0.598699	-2.05498	0.00365	0.0162668	yes
LINC00469	LINC00469	LINC00469	chr17:71745408-71824676	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00470	LINC00470	LINC00470	chr18:1268311-1359630	KO1_WT	KO1_Pus1	OK	0.0149828	0.899749	5.90814	1.15359	0.2509	0.426691	no
LINC00471	LINC00471	LINC00471	chr2:232373136-232379050	KO1_WT	KO1_Pus1	NOTEST	0.428898	0.378912	-0.178774	0	1	1	no
LINC00472	LINC00472	LINC00472	chr6:72124148-72130448	KO1_WT	KO1_Pus1	OK	0.747968	2.10179	1.49057	4.01638	5e-05	0.000427361	yes
LINC00473	LINC00473	LINC00473	chr6:166337535-166403103	KO1_WT	KO1_Pus1	NOTEST	0.136132	0.337757	1.31097	0	1	1	no
LINC00474	LINC00474	LINC00474	chr9:118650543-118687377	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00475	LINC00475	LINC00475	chr9:94903748-94921890	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00476	LINC00476	LINC00476	chr9:98568369-98731122	KO1_WT	KO1_Pus1	OK	3.07059	3.96558	0.369016	0.654611	0.35225	0.534524	no
LINC00477	LINC00477	LINC00477	chr12:24719897-24737102	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00478	LINC00478	LINC00478	chr21:17442841-17982094	KO1_WT	KO1_Pus1	OK	0.285951	0.735784	1.36351	2.64066	0.00095	0.00543198	yes
LINC00479	LINC00479	LINC00479	chr21:43131679-43135935	KO1_WT	KO1_Pus1	NOTEST	0.0651694	0.0343535	-0.923737	0	1	1	no
LINC00482	LINC00482	LINC00482	chr17:79276623-79283048	KO1_WT	KO1_Pus1	NOTEST	0.0836505	0.0547858	-0.610572	0	1	1	no
LINC00483	LINC00483	LINC00483	chr17:48834758-48844918	KO1_WT	KO1_Pus1	NOTEST	0	0.15296	inf	0	1	1	no
LINC00485	LINC00485	LINC00485	chr12:103203060-103218177	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00486	LINC00486	LINC00486	chr2:33050509-33171202	KO1_WT	KO1_Pus1	NOTEST	0.0175309	0	-inf	0	1	1	no
LINC00487	LINC00487	LINC00487	chr2:6869299-6910442	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00488	LINC00488	LINC00488	chr3:108897011-108904108	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00493	LINC00493	LINC00493	chr20:18548072-18550203	KO1_WT	KO1_Pus1	OK	66.1296	79.5394	0.266375	1.19509	0.0903	0.203935	no
LINC00494	LINC00494	LINC00494	chr20:46988653-46999381	KO1_WT	KO1_Pus1	NOTEST	0	0.0446554	inf	0	1	1	no
LINC00511	LINC00511	LINC00511	chr17:70594179-70636611	KO1_WT	KO1_Pus1	NOTEST	0.0151753	0.0152212	0.00436494	0	1	1	no
LINC00514	LINC00514	LINC00514	chr16:3039054-3044510	KO1_WT	KO1_Pus1	NOTEST	0.00832792	0.00995758	0.257839	0	1	1	no
LINC00515	LINC00515	LINC00515	chr21:26955086-26955536	KO1_WT	KO1_Pus1	OK	0.577025	1.08702	0.913668	0.652856	0.37355	0.555178	no
LINC00518	LINC00518	LINC00518	chr6:10428017-10435055	KO1_WT	KO1_Pus1	NOTEST	0	0.0222288	inf	0	1	1	no
LINC00520	LINC00520	LINC00520	chr14:56247852-56263392	KO1_WT	KO1_Pus1	NOTEST	0.0173683	0.0670135	1.948	0	1	1	no
LINC00521	LINC00521	LINC00521	chr14:94463615-94478041	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00523	LINC00523	LINC00523	chr14:101123604-101139081	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00525	LINC00525	LINC00525	chr7:47801073-47806370	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00526	LINC00526	LINC00526	chr18:5236722-5238028	KO1_WT	KO1_Pus1	NOTEST	0.115379	0.16812	0.543114	0	1	1	no
LINC00535	LINC00535	LINC00535	chr8:94358694-94712661	KO1_WT	KO1_Pus1	NOTEST	0.0774142	0.0176789	-2.13057	0	1	1	no
LINC00536	LINC00536	LINC00536	chr8:116962735-117337297	KO1_WT	KO1_Pus1	NOTEST	0	0.0120958	inf	0	1	1	no
LINC00538	LINC00538	LINC00538	chr1:213991094-214139608	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00547	LINC00547	LINC00547	chr13:38109076-38125673	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00548	LINC00548	LINC00548	chr13:40768645-40794639	KO1_WT	KO1_Pus1	NOTEST	0.0133086	0	-inf	0	1	1	no
LINC00550	LINC00550	LINC00550	chr13:69435416-69459457	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINC00552	LINC00552	LINC00552	chr13:114451483-114454062	KO1_WT	KO1_Pus1	NOTEST	0.0105988	0.0126773	0.258343	0	1	1	no
LINC00574	LINC00574	LINC00574	chr6:170188885-170202969	KO1_WT	KO1_Pus1	NOTEST	0.145489	0.45794	1.65425	0	1	1	no
LINC00575	LINC00575	LINC00575	chr4:83534265-83542590	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINGO1	LINGO1	LINGO1	chr15:77905368-77924709	KO1_WT	KO1_Pus1	OK	6.25255	8.84594	0.50057	2.25898	0.0015	0.00790942	yes
LINGO2	LINGO2	LINGO2	chr9:27948527-28719303	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINGO3	LINGO3	LINGO3	chr19:2289773-2308156	KO1_WT	KO1_Pus1	NOTEST	0.0916749	0.142928	0.640687	0	1	1	no
LINGO4	LINGO4	LINGO4	chr1:151772764-151777882	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LINS	LINS	LINS	chr15:101109427-101142445	KO1_WT	KO1_Pus1	OK	8.03753	6.60657	-0.282849	-1.2365	0.07735	0.181192	no
LIPA	LIPA	LIPA	chr10:90973325-91011660	KO1_WT	KO1_Pus1	OK	45.9298	59.4944	0.373323	2.24156	0.00295	0.0137113	yes
LIPC	LIPC	LIPC	chr15:58724174-58861073	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LIPE	LIPE	LIPE	chr19:42905665-42931578	KO1_WT	KO1_Pus1	OK	0.898994	0.806826	-0.156053	-0.427038	0.54065	0.703095	no
LIPF	LIPF	LIPF	chr10:90424145-90438572	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LIPG	LIPG	LIPG	chr18:47088426-47119278	KO1_WT	KO1_Pus1	NOTEST	0.0716197	0.0548589	-0.384631	0	1	1	no
LIPH	LIPH	LIPH	chr3:185225569-185270369	KO1_WT	KO1_Pus1	NOTEST	0.049716	0.0403455	-0.301303	0	1	1	no
LIPI	LIPI	LIPI	chr21:15481134-15579254	KO1_WT	KO1_Pus1	NOTEST	0.140919	0.151688	0.106242	0	1	1	no
LIPJ	LIPJ	LIPJ	chr10:90346518-90366733	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LIPK	LIPK	LIPK	chr10:90484300-90512513	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LIPM	LIPM	LIPM	chr10:90562486-90611732	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LIPN	LIPN	LIPN	chr10:90521162-90537999	KO1_WT	KO1_Pus1	NOTEST	0	0	0	0	1	1	no
LIPT1	LIPT1	LIPT1	chr2:99771417-99779613	KO1_WT	KO1_Pus1	OK	7.31625	5.31938	-0.459847	-1.57246	0.0234	0.0716422	no
LIPT2	LIPT2	LIPT2	chr11:74202922-74204755	KO1_WT	KO1_Pus1	OK	6.57832	5.05463	-0.380115	-1.15438	0.09975	0.219171	no
LITAF	LITAF	LITAF	chr16:11641577-11681322	KO1_WT	KO1_Pus1	OK	15.9824	17.7023	0.147454	0.724099	0.30505	0.486299	no
LIX1	LIX1	LIX1	chr5:96427573-96478520	KO1_WT	KO1_Pus1	NOTEST	0.0365462	0	-inf	0	1	1	no
LIX1L	LIX1L	LIX1L	chr1:145477084-145499091	KO1_WT	KO1_Pus1	OK	12.3603	10.6848	-0.210153	-0.884664	0.2054	0.370938	no
LLGL1	LLGL1	LLGL1	chr17:18128935-18162230	KO1_WT	KO1_Pus1	OK	18.9414	14.2553	-0.410044	-1.6143	0.0219	0.0680589	no
LLGL2	LLGL2	LLGL2	chr17:73521782-73571290	KO1_WT	KO1_Pus1	OK	11.7101	9.89156	-0.243483	-0.965589	0.1713	0.324664	no
LLPH	LLPH	LLPH	chr12:66516848-66524533	KO1_WT	KO1_Pus1	OK	35.5358	37.1229	0.0630351	0.306919	0.66775	0.799678	no
LMAN1	LMAN1	LMAN1	chr18:56995055-57026508	KO1_WT	KO1_Pus1	OK	55.819	28.6429	-0.962578	-7.01554	5e-05	0.000427361	yes
LMAN1L	LMAN1L	LMAN1L	chr15:75105193-75118099	KO1_WT	KO1_Pus1	NOTEST	0	0.0205578	inf	0	1	1	no
LMAN2	LMAN2	LMAN2	chr5:176758562-176778885	KO1_WT	KO1_Pus1	OK	91.4842	80.9622	-0.176274	-1.26962	0.0675	0.16324	no
LMAN2L	LMAN2L	LMAN2L	chr2:97371666-97405813	KO1_WT	KO1_Pus1	OK	14.776	16.0737	0.121443	0.584464	0.4087	0.588489	no
LMBR1	LMBR1	LMBR1	chr7:156473569-156685902	KO1_WT	KO1_Pus1	OK	36.3514	29.71	-0.291063	-2.10749	0.00275	0.0129688	yes
LMBR1L	LMBR1L	LMBR1L	chr12:49490922-49504680	KO1_WT	KO1_Pus1	OK	9.74587	8.71964	-0.160522	-0.722328	0.30405	0.485525	no
LMBRD1	LMBRD1	LMBRD1	chr6:70385640-70507049	KO1_WT	KO1_Pus1	OK	14.0922	15.2869	0.117402	0.561853	0.42775	0.605689	no
LMBRD2	LMBRD2	LMBRD2	chr5:36103413-36152015	KO1_WT	KO1_Pus1	OK	7.21404	9.40769	0.383033	1.78327	0.0108	0.0388859	yes
LMCD1	LMCD1	LMCD1	chr3:8543510-8609806	KO1_WT	KO1_Pus1	OK	1.84516	1.26912	-0.539912	-1.31482	0.06405	0.156907	no
LMF1	LMF1	LMF1	chr16:903634-1031318	KO1_WT	KO1_Pus1	OK	3.78615	3.96157	0.0653385	0.232984	0.7346	0.84519	no
LMF2	LMF2	LMF2	chr22:50941375-50946135	KO1_WT	KO1_Pus1	OK	21.6742	18.9918	-0.190603	-0.952643	0.17465	0.329972	no
LMLN	LMLN	LMLN	chr3:197687070-197770591	KO1_WT	KO1_Pus1	OK	3.25946	3.50439	0.104529	0.484875	0.4942	0.666499	no
LMNA	LMNA	LMNA	chr1:156084460-156109878	KO1_WT	KO1_Pus1	OK	31.6276	29.8227	-0.0847758	-0.419886	0.55205	0.712869	no
LMNB1	LMNB1	LMNB1	chr5:126112314-126172712	KO1_WT	KO1_Pus1	OK	148.399	114.643	-0.372327	-2.71811	5e-05	0.000427361	yes
LMNB2	LMNB2	LMNB2	chr19:2428163-2456958	KO1_WT	KO1_Pus1	OK	83.7439	67.4293	-0.312609	-2.32872	0.00085	0.0049589	yes
LMO1	LMO1	LMO1	chr11:8245856-8285406	KO1_WT	KO1_Pus1	OK	0.59208	0.523181	-0.178481	-0.234119	0.73885	0.848569	no
LMO2	LMO2	LMO2	chr11:33880122-33913836	KO1_WT	KO1_Pus1	OK	1.12513	1.05243	-0.0963667	-0.196459	0.77785	0.873652	no
LMO3	LMO3	LMO3	chr12:16701305-16761148	KO1_WT	KO1_Pus1	NOTEST	0.0428777	0.195067	2.18567	0	1	1	no
LMO4	LMO4	LMO4	chr1:87794150-87814607	KO1_WT	KO1_Pus1	OK	12.8463	11.0712	-0.214543	-1.09216	0.12045	0.25184	no
LMO7	LMO7	LMO7	chr13:76194569-76434006	KO1_WT	KO1_Pus1	OK	6.05698	4.36285	-0.473328	-2.30712	0.00115	0.00636619	yes
LMOD1	LMOD1	LMOD1	chr1:201865583-201915716	KO1_WT	KO1_Pus1	OK	1.21699	1.27694	0.0693649	0.219795	0.75385	0.858056	no
LMOD2	LMOD2	LMOD2	chr7:123295860-123304147	KO1_WT	KO1_Pus1	NOTEST	0.0259342	0	-inf	0	1	1	no
LMOD3	LMOD3	LMOD3	chr3:69156038-69171746	KO1_WT	KO1_Pus1	NOTEST	0.0432903	0.054829	0.340894	0	1	1	no
